W0730 15:40:58.418000 2727149 site-packages/torch/distributed/run.py:792] 
W0730 15:40:58.418000 2727149 site-packages/torch/distributed/run.py:792] *****************************************
W0730 15:40:58.418000 2727149 site-packages/torch/distributed/run.py:792] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0730 15:40:58.418000 2727149 site-packages/torch/distributed/run.py:792] *****************************************
[BlendedMVSDataset] 113 个场景 × 4, S∈[3,5], 452 个样本
batch shape: torch.Size([4, 5, 3, 224, 224]) (B=4, S=5)
参数数量: 21.3M
[BlendedMVSDataset] 113 个场景 × 4, S∈[3,5], 452 个样本
[BlendedMVSDataset] 113 个场景 × 4, S∈[3,5], 452 个样本
[BlendedMVSDataset] 113 个场景 × 4, S∈[3,5], 452 个样本
✅ Forward pass 成功! loss=1.396904, pred=torch.Size([20, 196, 768]), mask_rate=0.750
wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: Currently logged in as: 3222703726 (3222703726-huazhong-university-of-science-and-technology) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: creating run
wandb: Tracking run with wandb version 0.19.9
wandb: Run data is saved locally in /data/data_taohy/modelReShow/mum/wandb/run-20260730_154105-3lxp7m0h
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run mum_vit_small_S3-5_steps15k
wandb: ⭐️ View project at https://wandb.ai/3222703726-huazhong-university-of-science-and-technology/MuM
wandb: 🚀 View run at https://wandb.ai/3222703726-huazhong-university-of-science-and-technology/MuM/runs/3lxp7m0h
[BlendedMVSDataset] 113 个场景 × 4, S∈[3,5], 452 个样本
设备: cuda:0, GPU数: 4, 场景数: 113, 样本数: 452, S∈[3,5], AMP=bf16
有效 batch: 32, 总优化步数: 15000, warmup: 1000
模型: vit_small, norm_layer: layernormbf16
[step  11200/15000] loss=0.4838 | lr=1.71e-03 | 22.0s
[step  11250/15000] loss=0.4923 | lr=1.67e-03 | 22.5s
[step  11300/15000] loss=0.5070 | lr=1.63e-03 | 22.6s
[step  11350/15000] loss=0.4703 | lr=1.59e-03 | 22.0s
[step  11400/15000] loss=0.5040 | lr=1.54e-03 | 22.5s
[step  11450/15000] loss=0.4734 | lr=1.50e-03 | 22.0s
[step  11500/15000] loss=0.4766 | lr=1.46e-03 | 22.6s
[step  11550/15000] loss=0.4826 | lr=1.43e-03 | 21.8s
[step  11600/15000] loss=0.4923 | lr=1.39e-03 | 23.2s
[step  11650/15000] loss=0.5004 | lr=1.35e-03 | 22.3s
[step  11700/15000] loss=0.4813 | lr=1.31e-03 | 21.9s
[step  11750/15000] loss=0.4591 | lr=1.27e-03 | 22.7s
[step  11800/15000] loss=0.4775 | lr=1.23e-03 | 21.9s
[step  11850/15000] loss=0.4831 | lr=1.20e-03 | 23.0s
[step  11900/15000] loss=0.4755 | lr=1.16e-03 | 22.0s
[step  11950/15000] loss=0.5023 | lr=1.13e-03 | 23.0s
[step  12000/15000] loss=0.4836 | lr=1.09e-03 | 22.5s
[step  12050/15000] loss=0.4956 | lr=1.06e-03 | 22.1s
[step  12100/15000] loss=0.4771 | lr=1.02e-03 | 22.9s
[step  12150/15000] loss=0.5036 | lr=9.88e-04 | 22.1s
[step  12200/15000] loss=0.4894 | lr=9.55e-04 | 23.2s
[step  12250/15000] loss=0.4882 | lr=9.22e-04 | 21.9s
[step  12300/15000] loss=0.4743 | lr=8.90e-04 | 22.6s
[step  12350/15000] loss=0.4503 | lr=8.58e-04 | 22.9s
[step  12400/15000] loss=0.4790 | lr=8.27e-04 | 22.1s
[step  12450/15000] loss=0.4929 | lr=7.96e-04 | 22.4s
[step  12500/15000] loss=0.4818 | lr=7.66e-04 | 22.2s
[step  12550/15000] loss=0.4776 | lr=7.37e-04 | 22.7s
[step  12600/15000] loss=0.4493 | lr=7.08e-04 | 21.9s
  💾 Checkpoint → /data/data_taohy/modelReShow/mum/checkpoints/mum_0730-154103_step12600.pth
[step  12650/15000] loss=0.4978 | lr=6.79e-04 | 23.4s
[step  12700/15000] loss=0.4855 | lr=6.51e-04 | 22.8s
[step  12750/15000] loss=0.5025 | lr=6.24e-04 | 22.7s
[step  12800/15000] loss=0.4731 | lr=5.97e-04 | 22.9s
[step  12850/15000] loss=0.4555 | lr=5.71e-04 | 21.9s
[step  12900/15000] loss=0.4843 | lr=5.45e-04 | 22.9s
[step  12950/15000] loss=0.4787 | lr=5.20e-04 | 21.9s
[step  13000/15000] loss=0.4802 | lr=4.95e-04 | 22.7s
[step  13050/15000] loss=0.4960 | lr=4.71e-04 | 22.8s
[step  13100/15000] loss=0.4897 | lr=4.48e-04 | 22.1s
[step  13150/15000] loss=0.4823 | lr=4.25e-04 | 22.6s
[step  13200/15000] loss=0.4783 | lr=4.02e-04 | 22.3s
[step  13250/15000] loss=0.4646 | lr=3.81e-04 | 22.8s
[step  13300/15000] loss=0.4776 | lr=3.59e-04 | 21.9s
[step  13350/15000] loss=0.4826 | lr=3.39e-04 | 22.9s
[step  13400/15000] loss=0.4822 | lr=3.19e-04 | 23.0s
[step  13450/15000] loss=0.4679 | lr=2.99e-04 | 22.0s
[step  13500/15000] loss=0.4698 | lr=2.81e-04 | 22.8s
[step  13550/15000] loss=0.4755 | lr=2.62e-04 | 22.1s
[step  13600/15000] loss=0.4680 | lr=2.45e-04 | 22.9s
[step  13650/15000] loss=0.4589 | lr=2.28e-04 | 21.8s
[step  13700/15000] loss=0.4872 | lr=2.11e-04 | 22.9s
[step  13750/15000] loss=0.4846 | lr=1.95e-04 | 22.7s
[step  13800/15000] loss=0.4707 | lr=1.80e-04 | 22.2s
[step  13850/15000] loss=0.4834 | lr=1.66e-04 | 23.4s
[step  13900/15000] loss=0.4630 | lr=1.52e-04 | 21.8s
[step  13950/15000] loss=0.4390 | lr=1.38e-04 | 22.5s
